"Time (s)","Pressure (hPa)","Altitude (m)","Time (velocity) (s)","Velocity (m/s)"
1.110390783E0,1.026244995E3,0.000000000E0,1.610386070E0,-2.904595218E0
2.110381356E0,1.026597534E3,-2.904567836E0,2.610381746E0,-6.526290980E0
3.110382137E0,1.027390015E3,-9.430863913E0,3.610374194E0,9.431013734E0
4.110366251E0,1.026244995E3,0.000000000E0,4.610376304E0,-1.328651821E0
5.110386356E0,1.026406250E3,-1.328678533E0,5.610383335E0,-3.399395791E-1
6.110380314E0,1.026447510E3,-1.668616059E0,6.610383257E0,-1.204771135E0
7.110386199E0,1.026593750E3,-2.873394284E0,7.610384012E0,1.267138345E0
8.110381824E0,1.026439941E3,-1.606261483E0,8.610380496E0,-3.198155362E-1
9.110379168E0,1.026478760E3,-1.926076170E0,9.610381824E0,2.886358190E-1
1.011038448E1,1.026443726E3,-1.637438818E0,1.061038469E1,1.649391429E-1
1.111038490E1,1.026423706E3,-1.472499606E0,1.161038581E1,5.048901734E-1
1.211038672E1,1.026362427E3,-9.676085122E-1,1.261038547E1,-1.112340053E0
1.311038422E1,1.026497437E3,-2.079945785E0,1.361038573E1,1.194808233E0
1.411038724E1,1.026352417E3,-8.851339427E-1,1.461038883E1,-3.097781742E-1
1.511039042E1,1.026390015E3,-1.194913101E0,1.561038724E1,5.049077217E-1
1.611038406E1,1.026328735E3,-6.900085875E-1,1.661038844E1,-2.904350563E0
1.711039281E1,1.026681274E3,-3.594384563E0,1.761038003E1,3.285669021E0
1.811036724E1,1.026282471E3,-3.087995662E-1,1.861037839E1,-6.899728058E-1
1.911038953E1,1.026366211E3,-9.987877529E-1,1.961038591E1,4.013170189E-1
2.011038229E1,1.026317505E3,-5.974736395E-1,2.061038495E1,-5.974362873E-1
2.111038761E1,1.026390015E3,-1.194913101E0,2.161038537E1,0.000000000E0
2.211038313E1,1.026390015E3,-1.194913101E0,2.261038836E1,-5.249888494E-1
2.311039360E1,1.026453735E3,-1.719907446E0,2.361038849E1,-1.874496252E0
2.411038339E1,1.026681274E3,-3.594384563E0,2.461038469E1,1.277098531E0
2.511038599E1,1.026526245E3,-2.317282706E0,2.561038680E1,1.122367793E0
2.611038761E1,1.026390015E3,-1.194913101E0,2.661038682E1,8.549336634E-1
2.711038604E1,1.026286255E3,-3.399807739E-1,2.761038641E1,1.761379919E0
2.811038677E1,1.026072510E3,1.421400429E0,2.861038451E1,1.999149337E0
2.911038224E1,1.025829956E3,3.420540708E0,2.961038263E1,-6.389208670E-1
3.011038302E1,1.025907471E3,2.781619342E0,3.061038255E1,4.657480037E0
3.111038208E1,1.025342529E3,7.439095015E0,3.161038313E1,8.767778762E-1
3.211038417E1,1.025236206E3,8.315874717E0,3.261038396E1,3.815001281E0
3.311038375E1,1.024773682E3,1.213087441E1,3.361038305E1,1.876297642E0
3.411038235E1,1.024546265E3,1.400716941E1,3.461038240E1,3.023125094E0
3.511038245E1,1.024179932E3,1.703029482E1,3.561038255E1,1.413643930E0
3.611038266E1,1.024008667E3,1.844393905E1,3.661038315E1,3.673545068E0
3.711038365E1,1.023563721E3,2.211748775E1,3.761038576E1,2.064599207E0
3.811038787E1,1.023313721E3,2.418209566E1,3.861038451E1,4.017000561E0
3.911038115E1,1.022827454E3,2.819906923E1,3.961038073E1,2.582042734E-1
4.011038031E1,1.022796204E3,2.845727329E1,4.061038029E1,1.538766489E0
4.111038026E1,1.022609985E3,2.999603970E1,4.161038188E1,3.698797168E0
4.211038349E1,1.022162476E3,3.369484881E1,4.261038654E1,3.979222985E0
