"Time (s)","Acceleration (m/s²)"
1.428078660E-1,5.383491516E-3
1.812278660E-1,3.351211548E-3
2.196478660E-1,3.790855408E-3
2.580678660E-1,6.327629089E-3
2.964878660E-1,3.032684326E-4
3.349079710E-1,1.331329346E-3
3.733279710E-1,1.230239868E-4
4.117479710E-1,1.203536987E-3
4.501680750E-1,3.298759460E-3
4.885880750E-1,-2.689361572E-4
5.270080750E-1,-1.136112213E-2
5.654281790E-1,-1.172065735E-2
6.038481790E-1,-8.705139160E-3
6.422682830E-1,-1.035690308E-2
6.806882830E-1,-1.636981964E-2
7.191083870E-1,-1.192855835E-2
7.575284910E-1,-1.224899292E-2
7.959485960E-1,-6.967544556E-3
8.343685960E-1,-7.622718811E-3
8.727887000E-1,-9.347915649E-3
9.112088040E-1,-9.840965271E-3
9.496289080E-1,-1.700305939E-2
9.880490120E-1,-1.475429535E-2
1.026469221E0,-1.377296448E-2
1.064889325E0,-1.396846771E-2
1.103309429E0,-7.534027100E-4
1.141729533E0,-5.169868469E-3
1.180149741E0,-3.706932068E-3
1.218569846E0,-3.458023071E-3
1.256990054E0,-8.811950684E-3
1.295410262E0,-1.045894623E-2
1.333830366E0,-7.527351379E-3
1.372250575E0,-9.259223938E-3
1.410670783E0,6.988525391E-3
1.449090991E0,-1.792907715E-4
1.487511096E0,-4.635810852E-3
1.525931304E0,-9.784698486E-4
1.564351512E0,2.021789551E-4
1.602771825E0,1.303672791E-3
1.641192033E0,-4.368782043E-3
1.679612241E0,-4.079818726E-3
1.718032450E0,4.009246826E-3
1.756452658E0,1.505851746E-3
1.794872971E0,-3.059387207E-3
1.833293179E0,-1.737594604E-3
1.871713491E0,-1.055717468E-2
1.910133700E0,-1.096725464E-2
1.948554012E0,-1.850128174E-4
1.986974221E0,-1.289367676E-3
2.025394533E0,-6.788253784E-3
2.063814846E0,-7.534027100E-4
2.102235158E0,-9.634971619E-3
2.140655471E0,-4.520416260E-3
2.179075783E0,-8.668899536E-4
2.217496096E0,8.124351501E-3
2.255916408E0,-1.349449158E-3
2.294336721E0,-5.725860596E-3
2.332757033E0,2.393722534E-4
